台中,嘉義,永康,台南,高雄
18.93548387096774,18.632258064516126,18.664516129032254,19.225806451612907,21.425806451612907
20.612903225806452,20.358064516129033,20.074193548387093,20.367741935483867,22.906451612903222
22.251612903225816,22.161290322580644,21.490322580645163,21.66774193548387,24.374193548387098
23.406451612903226,23.46451612903226,22.912903225806453,22.948387096774198,25.080645161290324
24.309677419354845,24.658064516129034,23.970967741935485,23.980645161290322,25.454838709677418
24.558064516129033,25.203225806451613,24.48064516129032,24.3741935483871,25.65161290322581
24.48064516129032,25.325806451612905,24.645161290322577,24.580645161290324,25.77096774193549
23.767741935483873,24.90322580645161,24.145161290322584,24.212903225806453,25.380645161290325
22.712903225806457,23.70645161290323,23.18709677419354,23.564516129032263,24.883870967741935
21.632258064516126,22.14193548387097,22.070967741935487,22.499999999999996,24.24193548387097
20.754838709677415,20.758064516129032,21.03870967741935,21.551612903225806,23.783870967741937
20.087096774193554,19.96451612903226,20.345161290322583,20.922580645161286,23.403225806451616
19.677419354838708,19.512903225806454,19.80322580645161,20.39677419354839,23.077419354838707
19.319354838709682,19.003225806451614,19.419354838709683,20.070967741935487,22.645161290322584
18.970967741935482,18.72258064516129,19.129032258064516,19.76774193548387,22.20322580645161
18.735483870967744,18.416129032258066,18.86451612903226,19.47096774193549,21.893548387096775
18.53548387096774,18.161290322580648,18.641935483870967,19.26774193548387,21.51290322580645
18.364516129032257,17.94193548387097,18.4258064516129,19.080645161290327,21.283870967741933
18.21935483870968,17.725806451612904,18.238709677419354,18.887096774193548,21.083870967741937
18.06129032258064,17.48709677419355,18.132258064516126,18.783870967741933,20.929032258064517
17.916129032258063,17.461290322580645,17.932258064516127,18.625806451612902,20.70645161290323
17.864516129032257,17.361290322580647,17.845161290322586,18.509677419354837,20.64838709677419
17.76774193548387,17.27741935483871,17.84193548387097,18.52258064516129,20.587096774193554
17.77741935483871,17.235483870967744,17.86774193548387,18.51290322580645,20.683870967741935
