UTC,台北,板橋,新竹,宜蘭,花蓮,梧棲,台中,嘉義,永康,台南,台東,高雄,恆春
08-01_00,29.700000000000003,29.27741935483871,29.267741935483876,29.40967741935484,28.358064516129026,29.367741935483878,28.4258064516129,29.04516129032258,28.53870967741936,28.832258064516136,29.283870967741933,29.306451612903224,29.28064516129032
08-01_01,31.15161290322581,30.75806451612903,30.54193548387096,30.758064516129032,29.770967741935486,30.387096774193544,29.78387096774193,30.219354838709677,29.696774193548393,29.835483870967735,30.51935483870968,30.051612903225813,30.193548387096783
08-01_02,32.58709677419355,31.88387096774193,31.125806451612906,31.654838709677417,30.474193548387095,30.735483870967748,30.951612903225815,31.319354838709675,30.503225806451614,30.509677419354837,31.106451612903232,30.596774193548388,30.964516129032255
08-01_03,33.28709677419355,32.71612903225806,32.067741935483866,32.151612903225804,31.074193548387097,31.045161290322582,31.50645161290322,32.119354838709675,30.980645161290322,31.170967741935485,31.293548387096777,31.193548387096776,31.31290322580644
08-01_04,33.26451612903225,32.83870967741935,32.15483870967742,32.093548387096774,31.325806451612902,31.245161290322578,32.025806451612915,32.693548387096776,31.619354838709672,31.490322580645156,31.612903225806452,31.32580645161291,30.964516129032255
08-01_05,33.48709677419355,32.70645161290323,32.20322580645161,32.13548387096775,31.316129032258065,31.25806451612903,32.061290322580646,33.07741935483871,31.703225806451616,31.687096774193552,31.448387096774194,31.319354838709685,31.0
08-01_06,33.21935483870968,32.483870967741936,32.17741935483872,31.4258064516129,31.083870967741934,31.087096774193547,31.796774193548384,33.012903225806454,31.561290322580653,31.54516129032258,31.316129032258072,31.4,30.838709677419356
08-01_07,32.60645161290323,31.932258064516123,31.68064516129031,31.048387096774192,30.58709677419354,30.693548387096772,31.41290322580645,31.79677419354838,31.303225806451607,31.238709677419358,30.958064516129042,31.254838709677415,30.912903225806453
08-01_08,31.899999999999995,31.512903225806447,31.148387096774194,30.451612903225808,30.090322580645164,30.312903225806455,30.525806451612905,30.935483870967737,30.919354838709673,30.877419354838707,30.109677419354842,30.577419354838714,30.412903225806453
08-01_09,30.86129032258065,30.835483870967742,30.467741935483872,29.79032258064516,29.535483870967745,29.499999999999996,29.887096774193537,29.658064516129034,29.780645161290323,29.88387096774193,29.496774193548386,30.070967741935487,29.88064516129032
08-01_10,30.312903225806448,30.099999999999998,29.91935483870969,28.987096774193557,29.09354838709678,28.980645161290333,29.11612903225806,28.806451612903228,29.222580645161287,29.454838709677418,28.95483870967742,29.38387096774194,29.07096774193548
08-01_11,29.80322580645161,29.512903225806458,29.400000000000002,28.51612903225806,28.638709677419364,28.574193548387097,28.72258064516129,28.2741935483871,28.716129032258067,29.112903225806456,28.63548387096774,29.148387096774186,28.50322580645161
08-01_12,29.487096774193546,29.096774193548384,29.05806451612904,28.2483870967742,28.412903225806456,28.48387096774194,28.387096774193544,27.92258064516129,28.580645161290327,28.903225806451616,28.348387096774193,29.04516129032258,28.177419354838708
08-01_13,29.196774193548375,28.758064516129036,28.635483870967747,27.78064516129032,28.067741935483877,28.377419354838707,28.03870967741935,27.754838709677422,28.225806451612893,28.7258064516129,28.180645161290325,28.980645161290322,27.896774193548385
08-01_14,29.02258064516129,28.49677419354839,28.30645161290322,27.40967741935484,27.85483870967742,28.35483870967742,27.703225806451613,27.690322580645155,28.138709677419353,28.54193548387097,27.870967741935488,28.877419354838707,27.616129032258076
08-01_15,28.796774193548384,28.287096774193547,28.038709677419355,27.21935483870968,27.35483870967742,28.18387096774193,27.55161290322581,27.506451612903227,28.067741935483873,28.4483870967742,27.690322580645148,28.858064516129033,27.503225806451624
08-01_16,28.580645161290327,27.870967741935484,27.81612903225807,26.9483870967742,26.98387096774194,27.96774193548387,27.261290322580646,27.258064516129036,27.916129032258063,28.377419354838715,27.467741935483872,28.69354838709678,27.38709677419355
08-01_17,28.358064516129033,27.51935483870968,27.516129032258068,26.777419354838703,26.71935483870968,27.84838709677419,27.090322580645157,27.08709677419355,27.690322580645162,28.125806451612902,27.27741935483871,28.53870967741935,27.238709677419354
08-01_18,28.099999999999998,27.229032258064517,27.264516129032256,26.62580645161291,26.60645161290323,27.719354838709673,26.861290322580643,26.793548387096763,27.512903225806443,27.97096774193549,27.109677419354835,28.319354838709675,27.141935483870974
08-01_19,27.741935483870968,27.045161290322582,27.083870967741944,26.39677419354839,26.40322580645161,27.580645161290317,26.78387096774194,26.66774193548386,27.429032258064513,27.79354838709677,26.92258064516129,27.974193548387092,26.98387096774193
08-01_20,27.467741935483875,26.741935483870968,26.858064516129026,26.225806451612907,26.183870967741946,27.512903225806447,26.619354838709675,26.632258064516122,27.251612903225812,27.567741935483877,26.800000000000004,27.816129032258058,26.81935483870968
08-01_21,27.332258064516132,26.48064516129033,26.71612903225807,26.00322580645161,25.996774193548394,27.480645161290322,26.519354838709678,26.416129032258056,26.919354838709676,27.44516129032258,26.722580645161294,27.632258064516122,26.774193548387096
08-01_22,27.23548387096774,26.493548387096777,26.66451612903225,26.180645161290325,25.925806451612903,27.512903225806447,26.470967741935485,26.245161290322578,26.835483870967742,27.448387096774194,26.7516129032258,27.593548387096778,26.783870967741933
08-01_23,27.75806451612903,27.464516129032262,27.59354838709677,27.69677419354839,26.77096774193549,28.258064516129036,27.203225806451613,27.374193548387094,27.316129032258065,27.945161290322577,27.54516129032258,28.229032258064514,27.77741935483871
